,trench_norm_all,trench_norm_mz,trench_norm_cz,trench_norm_mio
age,-0.0372859022639082,0.16807652209357535,-0.661612096023799,-0.32248687063005177
recon_lon,-0.3292212841597542,-0.06442703701554907,-0.7392251945230786,-0.9719199692046946
recon_lat,0.137604354749769,0.01797110803166494,0.28858908497227453,0.9667182795630236
distance,0.13040254755729971,0.0834226791202842,0.15097304941849382,-0.10741665186900307
conv_rate,-0.2404473637383387,0.006585571678281473,-0.39028376952769894,0.5107135719805027
conv_angle,0.11380963685407086,0.1780778946658521,0.06364767599745566,0.22036086663444931
trench_abs_rate,-0.08199273926540308,0.02000819579255375,-0.31960006567338256,-0.9418552178091718
trench_abs_angle,-0.1281805925405826,0.014366416892663414,-0.20500142565941562,-0.9979887924236159
arc_len,-0.08998455862689216,0.13706605459420684,-0.35743474779892465,-0.5061278601290887
trench_norm,1.0,1.0,1.0,1.0
dist_nearest_edge,-0.18791979370197398,-0.16619789923621614,-0.26387391538538485,0.9405456259632835
dist_from_start,-0.24969841110483132,-0.21760926761628252,-0.3162680604425221,-0.8683647712838626
conv_ortho,-0.26216698165695346,-0.04453863608648695,-0.42655943145180303,0.6393193328848837
conv_paral,0.12775549257898067,0.23836412141480215,0.04689591473293736,0.24378813518163353
trench_abs_ortho,0.19135515845387724,0.01913234914175036,0.39742215984112683,0.9785931174329793
trench_abs_paral,-0.0989123460149476,-0.0508580026696004,-0.25908536083574696,-0.9537603168105382
subducting_abs_rate,0.18343506013613392,0.034293735758809826,0.29543470362898117,-0.8057215531960344
subducting_abs_angle,0.003957383997958067,0.12665008433859123,-0.12188005219773484,-0.35073950413986027
subducting_abs_ortho,-0.2037104401372255,-0.03542247971137592,-0.35119576008778486,0.818356472480127
subducting_abs_paral,0.10438880323282258,0.2575212831838852,-0.0016839665398307468,-0.4721495177680175
seafloor_age,-0.04432899568794102,-0.1979100394525698,0.05929675345615721,0.9883637452212944
carbonate_sediment_thickness,0.23070447401674704,-0.28438007733846976,0.6724313523266173,0.8506281640402598
total_sediment_thick,-0.03610708996712315,-0.2924522659877494,0.07559985160374026,0.9888311777727372
ocean_crust_carb_percent,0.01567540660338389,-0.3338295766561942,0.12788752574535983,0.9571771563567855
