,trench_abs_ortho_all,trench_abs_ortho_mz,trench_abs_ortho_cz,trench_abs_ortho_mio
age,0.6098296580078564,0.07087096558855324,0.17384299982483783,-0.6319380443089703
recon_lon,0.4249738445811812,-0.05399685963910899,-0.030914689527124246,0.008702987376195227
recon_lat,-0.07474666762650367,-0.039263885560473236,0.09477400397733654,-0.3023915809162611
distance,-0.1673543414354761,-0.4108725139487511,0.08860463929656522,-0.0193794758655528
conv_rate,-0.477480796642531,-0.4248584305369694,-0.3274182477780274,-0.2521977888179333
conv_angle,-0.0726243087412867,0.11104372384746818,0.38600690009947397,0.08799162565893155
trench_abs_rate,-0.889701508250575,-0.9000208302280922,-0.7408708490113551,-0.8200793236024868
trench_abs_angle,0.03575777249833381,-0.4989581997398013,0.12220260420156645,0.046744689387329875
arc_len,0.11416213151998383,0.1608425922426621,0.1715631537465412,0.3111691337637506
trench_norm,-0.1875481556949267,-0.26659207574419397,-0.4617317738259764,-0.08321771440388781
dist_nearest_edge,-0.4998589299403742,-0.2347136172844194,-0.21297426763140856,-0.07118699907931507
dist_from_start,-0.22349353550055984,0.261179587474823,-0.21464460135330474,-0.38611778561965504
conv_ortho,-0.5291303016429294,-0.4330990625562932,-0.510304135438195,-0.29219057390322256
conv_paral,0.049416820331515045,0.3264384330942068,0.27667900634809384,0.09595903418150627
trench_abs_ortho,1.0,1.0,1.0,1.0
trench_abs_paral,-0.1653290101062525,-0.561547982464465,0.10246913549944571,0.22631868601090233
subducting_abs_rate,0.14931236459297692,-0.08890547017345775,0.16086250875178248,0.04711102928817124
subducting_abs_angle,-0.04777370496441326,0.030944384851103932,0.3616874001262363,0.1659756328724771
subducting_abs_ortho,-0.2149547116018471,-0.006672981868112353,-0.3429701935033326,-0.011749376349599772
subducting_abs_paral,-0.012625392312673978,-0.17504107744849035,0.37173255722053583,0.20117502336882329
seafloor_age,-0.46601134149060613,-0.13649232822308752,-0.24028457061154213,-0.19817371187459995
carbonate_sediment_thickness,0.12839101836302985,0.025548859900181603,0.20632029890124842,0.40409850311140993
total_sediment_thick,-0.48366035841291055,-0.16813857793291043,-0.15656133075092435,-0.19554558934971852
ocean_crust_carb_percent,-0.3049637219840307,-0.36828670409095354,-0.1403757139037763,-0.2822392939315651
