,trench_abs_paral_all,trench_abs_paral_mz,trench_abs_paral_cz,trench_abs_paral_mio
age,0.1641632231481002,0.611549382399031,-0.1623486037895899,-0.5496221509632585
recon_lon,0.02010052794823724,0.12559614368634278,-0.12352879964980344,0.01963906690448193
recon_lat,0.018999297492670493,0.38810349523419363,-0.20254403024693643,-0.3668244693599384
distance,0.2475504929183429,0.6858435869590693,-0.14936082217539165,-0.2896485992664025
conv_rate,-0.14672260232939557,0.04730173160154879,-0.24521303108361278,-0.2694653919620207
conv_angle,-0.46547330421357447,-0.3608087331631566,-0.5665546371717223,-0.8397201747382244
trench_abs_rate,0.18680103290590103,0.784655336585248,-0.6198565090363302,-0.62197158636899
trench_abs_angle,0.5923267894651506,0.8276024230077017,0.6132867024413429,0.8277378809691167
arc_len,0.029949504119311052,-0.013789709120016208,0.052901493569528356,-0.007353085041946928
trench_norm,0.4380250779753925,0.20503044661510364,0.6357078230145025,0.9028695823733756
dist_nearest_edge,-0.24696759814711175,-0.35146562968344586,-0.2208749307895336,-0.1989589152393005
dist_from_start,-0.4095352630989532,-0.44559939192867304,-0.3966180979883849,-0.3459619857856314
conv_ortho,-0.042540474889853186,-0.03655040755478676,-0.005676422047661375,-0.2507881944693158
conv_paral,-0.6622029669881,-0.7763268417000851,-0.72023100984973,-0.8232260072851423
trench_abs_ortho,-0.1653290101062525,-0.561547982464465,0.10246913549944571,0.22631868601090233
trench_abs_paral,1.0,1.0,1.0,1.0
subducting_abs_rate,0.1788615674491238,0.26710263599985834,0.1028069042168379,0.14831281848488415
subducting_abs_angle,-0.16055416451899396,0.05156535010506998,-0.23907117594569338,-0.42386187754776167
subducting_abs_ortho,-0.11630440768444644,-0.30803820418920463,0.013814412339514125,-0.1936224648436366
subducting_abs_paral,-0.37061826156631655,0.0028189723987152473,-0.5389158861727222,-0.6929626101476092
seafloor_age,-0.1036918953943267,0.44587085037215185,-0.34304362066918775,-0.16035979609062515
carbonate_sediment_thickness,-0.06518922547031823,-0.17145543568059857,0.14726998263955526,0.19859908743906374
total_sediment_thick,0.032487369922446,0.6488595929918206,-0.29298278488041235,-0.17489647877166528
ocean_crust_carb_percent,0.013331338069625725,0.6315292565274443,-0.35057974414681425,-0.3824209722147721
